BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/AccessibilityMenu.tsx;557;2128
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/accessibilityMenuOpener.ts;98;224
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/AccessibilitySetting.tsx;181;489
apps/accessibility/accessibility-menu-web/__liferay__/index.js:/js/util.ts;156;380
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js:/index.ts;171;421
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountContactAddressZipValidator.js;200;625
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntriesAdminPortlet.es.js;168;637
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntriesManagementToolbarPropsTransformer.js;215;817
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountEntryAddressesManagementToolbarPropsTransformer.js;183;537
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountOrganizationsManagementToolbarPropsTransformer.js;274;1060
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountRolesManagementToolbarPropsTransformer.js;183;525
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountUserDropdownDefaultPropsTransformer.js;108;255
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/AccountUsersManagementToolbarPropsTransformer.js;376;1726
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/actions.js;231;778
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/CountryRegionDynamicSelect.js;70;135
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/DefaultAddresses.js;274;983
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/InviteUsersForm.tsx;588;2393
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/InviteUsersFormGroup.tsx;460;2040
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/PersonAccountEntryEventHandler.es.js;348;1964
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/SelectAccountDefaultAddressManagementToolbarPropsTransformer.js;107;251
apps/account/account-admin-web/__liferay__/index.js:/js/account_entries_admin/SelectAccountUsersManagementToolbarPropsTransformer.js;104;241
apps/account/account-admin-web/__liferay__/index.js:/js/account_groups_admin/AccountGroupAccountEntriesManagementToolbarPropsTransformer.js;281;1065
apps/account/account-admin-web/__liferay__/index.js:/js/account_groups_admin/AccountGroupsManagementToolbarPropsTransformer.js;181;515
apps/account/account-admin-web/__liferay__/index.js:/js/account_users_admin/AccountUserEmailDomainValidator.es.js;574;2562
apps/account/account-admin-web/__liferay__/index.js:/js/account_users_admin/AccountUsersAdminManagementToolbarPropsTransformer.js;488;2495
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/AdaptiveMediaProgress.js;636;2086
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/EditAdaptiveMedia.js;1205;4503
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/form/Components.js;406;1331
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/form/validations.js;198;408
apps/adaptive-media/adaptive-media-web/__liferay__/index.js:/js/utils/entryIcons.js;144;380
apps/address/address-web/__liferay__/index.js:/js/CountriesManagementToolbarPropsTransformer.js;250;974
apps/address/address-web/__liferay__/index.js:/js/CountryRegionDynamicSelect.js;281;910
apps/address/address-web/__liferay__/index.js:/js/RegionsManagementToolbarPropsTransformer.js;288;1090
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/AICreatorImageModal.tsx;524;2270
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/AICreatorModal.tsx;454;1889
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/ErrorMessage.tsx;154;532
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/FormContent.tsx;262;1201
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/FormFooter.tsx;229;952
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/FormImage.tsx;262;1118
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/ImagesResult.tsx;204;758
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/LoadingMessage.tsx;139;442
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js:/ai_creator_modal/TextContent.tsx;131;358
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/attributes/Attributes.tsx;479;2761
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/attributes/Modal.tsx;281;1238
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/BasePage.tsx;122;432
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/connect/Connect.tsx;397;1883
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/connect/DisconnectModal.tsx;291;1234
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/Loading.tsx;123;380
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/AccountGroupsModal.tsx;154;600
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/Modal.tsx;270;1024
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/OrganizationsModal.tsx;154;597
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/People.tsx;518;4449
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/people/UserGroupsModal.tsx;155;586
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/AssignModal.tsx;345;1712
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/ChannelTab.tsx;188;743
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/CreatePropertyModal.tsx;305;1290
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/Properties.tsx;557;3167
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/SitesTab.tsx;177;677
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/properties/Tab.tsx;206;696
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/recommendations/DisableJobModal.tsx;211;918
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/recommendations/jobs.ts;158;823
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/recommendations/Recommendations.tsx;524;2637
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/StateRenderer.tsx;240;1206
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/Content.tsx;301;1245
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/Context.tsx;378;1765
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/ManagementToolbar.tsx;523;3209
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/PaginationBar.tsx;234;841
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/StateRenderer.tsx;190;772
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/Table.tsx;270;1108
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/types.ts;54;104
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/components/table/utils.ts;282;1134
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/index.tsx;301;1335
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/default/AttributesPage.tsx;91;248
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/default/ConnectPage.tsx;72;160
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/default/DefaultPage.tsx;271;1086
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/default/PeoplePage.tsx;90;244
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/default/PropertiesPage.tsx;89;241
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/default/RecommendationsPage.tsx;171;595
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/wizard/AttributesStep.tsx;227;993
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/wizard/ConnectStep.tsx;92;235
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/wizard/PeopleStep.tsx;129;478
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/wizard/PropertyStep.tsx;131;483
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/wizard/RecommendationsStep.tsx;276;1083
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/pages/wizard/WizardPage.tsx;350;1433
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/utils/api.ts;332;2759
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/utils/constants.ts;113;327
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/utils/filter.ts;66;137
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/utils/pagination.ts;79;175
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/utils/request.ts;199;672
apps/analytics/analytics-settings-web/__liferay__/index.js:/js/utils/useRequest.ts;154;516
apps/announcements/announcements-web/__liferay__/index.js:/js/announcements_admin/AnnouncementsManagementToolbarPropsTransformer.js;365;644
apps/application-list/application-list-taglib/__liferay__/index.js:/js/PanelKeyboardHandler.ts;678;2020
apps/application-list/application-list-taglib/__liferay__/index.js:/js/ScopeDropdown.tsx;310;724
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/ActionsComponentPropsTransformer.js;331;998
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/AssetCategoriesManagementToolbarPropsTransformer.js;337;1004
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/AssetCategoriesSelectorTag.js;225;758
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/CategoryActionDropdownPropsTransformer.js;405;1297
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/ItemSelectorAddCategory.js;437;1920
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/openDeleteCategoryModal.js;189;583
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/openDeleteVocabularyModal.js;188;574
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/SaveAndAddNewPropsTransformer.js;133;293
apps/asset/asset-categories-admin-web/__liferay__/index.js:/js/VocabularyActionDropdownPropsTransformer.js;261;843
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/css/tree.scss;144;321
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/js/AssetCategoryTree.js;879;3099
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/js/SelectAssetCategoryInfoItem.js;699;2567
apps/asset/asset-categories-item-selector-web/__liferay__/index.js:/js/SelectEntityHandler.js;212;581
apps/asset/asset-list-web/__liferay__/index.js:/js/api/index.js;104;211
apps/asset/asset-list-web/__liferay__/index.js:/js/AssetEntryListDropdownDefaultPropsTransformer.js;283;945
apps/asset/asset-list-web/__liferay__/index.js:/js/AssetListEntryVariationDefaultPropsTransformer.js;230;694
apps/asset/asset-list-web/__liferay__/index.js:/js/components/AssetFilterBuilder/index.js;979;5942
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/DropDownItem.js;252;756
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/index.js;578;2484
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/SortableList.js;468;1475
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/SortableListItem.js;524;1973
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/SortableListItemMoreActions.js;374;1405
apps/asset/asset-list-web/__liferay__/index.js:/js/components/VariationsNav/utils/index.js;249;592
apps/asset/asset-list-web/__liferay__/index.js:/js/EditAssetListEntryManualDefaultPropsTransformer.js;196;527
apps/asset/asset-list-web/__liferay__/index.js:/js/EmptyResultMessagePropsTransformer.js;174;459
apps/asset/asset-list-web/__liferay__/index.js:/js/InfoCollectionProviderDropdownDefaultPropsTransformer.js;116;278
apps/asset/asset-list-web/__liferay__/index.js:/js/ListItemsDropdownPropsTransformer.js;166;471
