BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.js;1869;5253
apps/accessibility/accessibility-settings-state-web/__liferay__/index.js;490;898
apps/account/account-admin-web/__liferay__/index.js;6098;23476
apps/adaptive-media/adaptive-media-web/__liferay__/index.js;3757;11106
apps/address/address-web/__liferay__/index.js;1155;3705
apps/ai-creator/ai-creator-openai-web/__liferay__/index.js;3183;11825
apps/analytics/analytics-settings-web/__liferay__/index.js;13104;57818
apps/announcements/announcements-web/__liferay__/index.js;678;1115
apps/application-list/application-list-taglib/__liferay__/index.js;1629;4016
apps/asset/asset-categories-admin-web/__liferay__/index.js;2936;9273
apps/asset/asset-categories-item-selector-web/__liferay__/index.js;3008;8742
apps/asset/asset-list-web/__liferay__/index.js;8464;30048
apps/asset/asset-publisher-web/__liferay__/index.js;5796;19407
apps/asset/asset-taglib/__liferay__/index.js;5128;16785
apps/asset/asset-tags-admin-web/__liferay__/index.js;970;1993
apps/batch-planner/batch-planner-web/__liferay__/index.js;11155;41632
apps/blogs/blogs-web/__liferay__/index.js;4834;15346
apps/bookmarks/bookmarks-web/__liferay__/index.js;1112;2323
apps/calendar/calendar-web/__liferay__/index.js;846;2119
apps/change-tracking/change-tracking-web/__liferay__/index.js;29173;127692
apps/client-extension/client-extension-web/__liferay__/index.js;3892;11926
apps/comment/comment-taglib/__liferay__/index.js;3825;11159
apps/commerce/commerce-account-web/__liferay__/index.js;1069;2146
apps/commerce/commerce-availability-estimate-web/__liferay__/index.js;614;997
apps/commerce/commerce-cart-content-web/__liferay__/index.js;1202;3764
apps/commerce/commerce-catalog-web/__liferay__/index.js;1031;3076
apps/commerce/commerce-channel-web/__liferay__/index.js;4366;12484
apps/commerce/commerce-checkout-web/__liferay__/index.js;784;1312
apps/commerce/commerce-client-extension-web/__liferay__/index.js;442;671
apps/commerce/commerce-frontend-js/__liferay__/index.js;56034;230312
apps/commerce/commerce-frontend-taglib/__liferay__/index.js;3818;11472
apps/commerce/commerce-order-content-web/__liferay__/index.js;14285;66150
apps/commerce/commerce-order-rule-web/__liferay__/index.js;1972;7942
apps/commerce/commerce-order-web/__liferay__/index.js;3638;13489
apps/commerce/commerce-payment-web/__liferay__/index.js;2026;5972
apps/commerce/commerce-pricing-web/__liferay__/index.js;5512;35716
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.js;918;1946
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.js;1302;3155
apps/commerce/commerce-product-content-category-web/__liferay__/index.js;274;441
apps/commerce/commerce-product-content-search-web/__liferay__/index.js;1069;2413
apps/commerce/commerce-product-content-web/__liferay__/index.js;3636;12361
apps/commerce/commerce-product-definitions-web/__liferay__/index.js;8952;39617
apps/commerce/commerce-product-measurement-unit-web/__liferay__/index.js;750;1308
apps/commerce/commerce-product-options-web/__liferay__/index.js;3381;12048
apps/commerce/commerce-product-tax-category-web/__liferay__/index.js;617;973
apps/commerce/commerce-product-type-grouped-web/__liferay__/index.js;783;1411
apps/commerce/commerce-product-type-virtual-order-content-web/__liferay__/index.js;751;1234
apps/commerce/commerce-shipment-web/__liferay__/index.js;240;307
apps/commerce/commerce-shipping-engine-fixed-web/__liferay__/index.js;1287;3575
apps/commerce/commerce-taglib/__liferay__/index.js;418;690
apps/commerce/commerce-tax-engine-fixed-web/__liferay__/index.js;404;715
apps/commerce/commerce-term-web/__liferay__/index.js;1561;3868
apps/commerce/commerce-warehouse-web/__liferay__/index.js;2107;7734
apps/configuration-admin/configuration-admin-web/__liferay__/index.js;517;838
apps/contacts/contacts-web/__liferay__/index.js;54;34
apps/content-dashboard/content-dashboard-document-library-impl/__liferay__/index.js;464;835
apps/content-dashboard/content-dashboard-web/__liferay__/index.js;16078;58306
apps/cookies/cookies-banner-web/__liferay__/index.js;2383;6438
apps/data-engine/data-engine-js-components-web/__liferay__/index.js;47572;170569
apps/data-engine/data-engine-rest-impl/__liferay__/index.js;54;34
apps/data-engine/data-engine-taglib/__liferay__/index.js;25099;95360
