BUNDLE;IMPORT;SYMBOLS
"modules/apps/accessibility/accessibility-menu-web";"accessibility-menu-web";"AccessibilityMenu"
"modules/apps/account/account-admin-web";"account-admin-web";"AccountContactAddressZipValidator,AccountEntriesAdminPortlet,AccountEntriesManagementToolbarPropsTransformer,AccountEntryAddressesManagementToolbarPropsTransformer,AccountGroupAccountEntriesManagementToolbarPropsTransformer,AccountGroupsManagementToolbarPropsTransformer,AccountOrganizationsManagementToolbarPropsTransformer,AccountRolesManagementToolbarPropsTransformer,AccountUserDropdownDefaultPropsTransformer,AccountUserEmailDomainValidator,AccountUsersAdminManagementToolbarPropsTransformer,AccountUsersManagementToolbarPropsTransformer,CountryRegionDynamicSelect,DefaultAddresses,InviteUsersForm,PersonAccountEntryEventHandler,SelectAccountDefaultAddressManagementToolbarPropsTransformer,SelectAccountUsersManagementToolbarPropsTransformer"
"modules/apps/adaptive-media/adaptive-media-web";"adaptive-media-web";"AdaptiveMediaProgress,EditAdaptiveMedia"
"modules/apps/address/address-web";"address-web";"CountriesManagementToolbarPropsTransformer,RegionsManagementToolbarPropsTransformer"
"modules/apps/ai-creator/ai-creator-openai-web";"ai-creator-openai-web";"AICreatorImageModal,AICreatorModal"
"modules/apps/analytics/analytics-settings-web";"analytics-settings-web";"App"
"modules/apps/announcements/announcements-web";"announcements-web";"AnnouncementsManagementToolbarPropsTransformer"
"modules/apps/application-list/application-list-taglib";"application-list-taglib";"PanelKeyboardHandler,ScopeDropdown"
"modules/apps/asset/asset-categories-admin-web";"asset-categories-admin-web";"ActionsComponentPropsTransformer,AssetCategoriesManagementToolbarPropsTransformer,AssetCategoriesSelectorTag,CategoryActionDropdownPropsTransformer,ItemSelectorAddCategory,SaveAndAddNewPropsTransformer,VocabularyActionDropdownPropsTransformer"
"modules/apps/asset/asset-categories-item-selector-web";"asset-categories-item-selector-web";"SelectAssetCategoryInfoItem,SelectEntityHandler"
