BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:build/node-scripts/import/@clayui$alert.js;77;165
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:build/node-scripts/import/@clayui$button.js;92;191
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:build/node-scripts/import/@clayui$form.js;139;336
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:build/node-scripts/import/@clayui$modal.js;155;368
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:build/node-scripts/import/prop-types.js;187;458
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:build/node-scripts/import/react.js;306;812
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:/js/AccessibilityMenu.tsx;737;2306
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:/js/accessibilityMenuOpener.ts;75;120
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:/js/AccessibilitySetting.tsx;173;370
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js:/js/util.ts;180;324
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(36IAVNFV).js:/index.ts;194;509
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(36IAVNFV).js:/isReducedMotion.ts;147;215
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/@clayui$autocomplete.js;73;210
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/@clayui$button.js;72;193
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/@clayui$form.js;109;338
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/@clayui$icon.js;72;192
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/@clayui$layout.js;106;362
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/@clayui$multi-select.js;73;202
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:build/node-scripts/import/react.js;238;814
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountContactAddressZipValidator.js;181;526
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountEntriesAdminPortlet.es.js;167;601
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountEntriesManagementToolbarPropsTransformer.js;256;926
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountEntryAddressesManagementToolbarPropsTransformer.js;222;669
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountOrganizationsManagementToolbarPropsTransformer.js;325;1183
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountRolesManagementToolbarPropsTransformer.js;224;657
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountUserDropdownDefaultPropsTransformer.js;78;156
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AccountUsersManagementToolbarPropsTransformer.js;433;1842
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/actions.js;273;851
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/AddressSubtypeAutocomplete.tsx;549;1975
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/CountryRegionDynamicSelect.js;60;95
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/DefaultAddresses.js;321;1092
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/InviteUsersForm.tsx;645;2506
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/InviteUsersFormGroup.tsx;482;2006
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/PersonAccountEntryEventHandler.es.js;398;2100
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/SelectAccountDefaultAddressManagementToolbarPropsTransformer.js;102;211
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_entries_admin/SelectAccountUsersManagementToolbarPropsTransformer.js;97;201
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_groups_admin/AccountGroupAccountEntriesManagementToolbarPropsTransformer.js;330;1191
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_groups_admin/AccountGroupsManagementToolbarPropsTransformer.js;220;647
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_users_admin/AccountUserEmailDomainValidator.es.js;632;2624
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js:/js/account_users_admin/AccountUsersAdminManagementToolbarPropsTransformer.js;563;2595
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/@clayui$alert.js;81;167
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/@clayui$button.js;97;193
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/@clayui$form.js;146;335
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/@clayui$icon.js;98;192
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/@clayui$layout.js;143;362
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/@clayui$progress-bar.js;84;181
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/formik.js;273;657
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/prop-types.js;191;460
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:build/node-scripts/import/react.js;322;814
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:/js/AdaptiveMediaProgress.js;756;2287
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:/js/EditAdaptiveMedia.js;1321;4508
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:/js/form/Components.js;437;1319
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:/js/form/validations.js;215;408
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js:/js/utils/entryIcons.js;106;279
apps/address/address-web/__liferay__/index.(VHQNHQZR).js:build/node-scripts/import/prop-types.js;171;437
apps/address/address-web/__liferay__/index.(VHQNHQZR).js:/js/CountriesManagementToolbarPropsTransformer.js;284;956
apps/address/address-web/__liferay__/index.(VHQNHQZR).js:/js/CountryRegionDynamicSelect.js;399;1153
apps/address/address-web/__liferay__/index.(VHQNHQZR).js:/js/RegionsManagementToolbarPropsTransformer.js;324;1072
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/@clayui$button.js;71;191
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/@clayui$card.js;89;266
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/@clayui$form.js;106;334
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/@clayui$icon.js;72;190
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/@clayui$layout.js;106;359
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/@clayui$loading-indicator.js;66;189
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/classnames.js;59;161
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:build/node-scripts/import/react.js;238;814
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/AICreatorImageModal.tsx;584;2336
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/AICreatorModal.tsx;508;1993
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/ErrorMessage.tsx;166;532
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/FormContent.tsx;273;1160
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/FormFooter.tsx;246;952
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/FormImage.tsx;274;1062
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/ImagesResult.tsx;215;745
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/LoadingMessage.tsx;149;442
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js:/ai_creator_modal/TextContent.tsx;136;348
apps/analytics/analytics-reports-js-components-web/node_modules/d3-array/src/array.js;38;45
apps/analytics/analytics-reports-js-components-web/node_modules/d3-array/src/ascending.js;40;48
apps/analytics/analytics-reports-js-components-web/node_modules/d3-array/src/bisect.js;33;37
apps/analytics/analytics-reports-js-components-web/node_modules/d3-array/src/bisector.js;114;336
apps/analytics/analytics-reports-js-components-web/node_modules/d3-array/src/merge.js;84;149
apps/analytics/analytics-reports-js-components-web/node_modules/d3-array/src/ticks.js;34;54
apps/analytics/analytics-reports-js-components-web/node_modules/d3-axis/src/array.js;30;29
apps/analytics/analytics-reports-js-components-web/node_modules/d3-brush/src/brush.js;128;462
apps/analytics/analytics-reports-js-components-web/node_modules/d3-chord/src/array.js;30;29
apps/analytics/analytics-reports-js-components-web/node_modules/d3-chord/src/math.js;30;31
apps/analytics/analytics-reports-js-components-web/node_modules/d3-collection/src/map.js;266;1056
apps/analytics/analytics-reports-js-components-web/node_modules/d3-collection/src/set.js;166;415
apps/analytics/analytics-reports-js-components-web/node_modules/d3-color/src/color.js;1656;6324
apps/analytics/analytics-reports-js-components-web/node_modules/d3-color/src/cubehelix.js;326;961
apps/analytics/analytics-reports-js-components-web/node_modules/d3-color/src/define.js;78;145
apps/analytics/analytics-reports-js-components-web/node_modules/d3-color/src/lab.js;551;2008
apps/analytics/analytics-reports-js-components-web/node_modules/d3-color/src/math.js;30;34
apps/analytics/analytics-reports-js-components-web/node_modules/d3-contour/src/array.js;34;35
apps/analytics/analytics-reports-js-components-web/node_modules/d3-dispatch/src/dispatch.js;447;1539
apps/analytics/analytics-reports-js-components-web/node_modules/d3-drag/src/event.js;106;246
apps/analytics/analytics-reports-js-components-web/node_modules/d3-dsv/src/csv.js;44;73
apps/analytics/analytics-reports-js-components-web/node_modules/d3-dsv/src/dsv.js;478;1535
apps/analytics/analytics-reports-js-components-web/node_modules/d3-dsv/src/tsv.js;44;73
apps/analytics/analytics-reports-js-components-web/node_modules/d3-ease/src/back.js;94;314
apps/analytics/analytics-reports-js-components-web/node_modules/d3-ease/src/bounce.js;62;104
apps/analytics/analytics-reports-js-components-web/node_modules/d3-ease/src/cubic.js;44;54
apps/analytics/analytics-reports-js-components-web/node_modules/d3-ease/src/elastic.js;148;744
apps/analytics/analytics-reports-js-components-web/node_modules/d3-ease/src/poly.js;88;296
apps/analytics/analytics-reports-js-components-web/node_modules/d3-ease/src/sin.js;27;23
apps/analytics/analytics-reports-js-components-web/node_modules/d3-fetch/src/dsv.js;89;170
apps/analytics/analytics-reports-js-components-web/node_modules/d3-fetch/src/text.js;73;127
apps/analytics/analytics-reports-js-components-web/node_modules/d3-fetch/src/xml.js;94;186
apps/analytics/analytics-reports-js-components-web/node_modules/d3-force/src/simulation.js;30;32
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/defaultLocale.js;86;142
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/exponent.js;44;51
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatDecimal.js;92;168
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatGroup.js;114;213
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatNumerals.js;50;88
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatPrefixAuto.js;133;276
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatRounded.js;98;190
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatSpecifier.js;241;689
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatTrim.js;107;202
apps/analytics/analytics-reports-js-components-web/node_modules/d3-format/src/formatTypes.js;127;504
