BUNDLE;GZIP;SIZE
apps/accessibility/accessibility-menu-web/__liferay__/index.(VCA2F7K2).js;2167;5495
apps/accessibility/accessibility-settings-state-web/__liferay__/index.(36IAVNFV).js;389;769
apps/account/account-admin-web/__liferay__/index.(FIVHETII).js;7337;27010
apps/adaptive-media/adaptive-media-web/__liferay__/index.(4LZXWCDA).js;4316;12207
apps/address/address-web/__liferay__/index.(VHQNHQZR).js;1220;3663
apps/ai-creator/ai-creator-openai-web/__liferay__/index.(ZAFYMM3X).js;3394;12119
apps/analytics/analytics-reports-js-components-web/__liferay__/index.(EY4RV6JY).js;58350;181159
apps/analytics/analytics-settings-web/__liferay__/index.(AUDNIJLG).js;13360;56625
apps/announcements/announcements-web/__liferay__/index.(Y3G2TBZS).js;502;757
apps/application-list/application-list-taglib/__liferay__/index.(2XZ5MZIS).js;4870;13340
apps/asset/asset-categories-admin-web/__liferay__/index.(YGV455ZB).js;3282;10181
apps/asset/asset-categories-item-selector-web/__liferay__/index.(QQ3PXCOV).js;3474;9761
apps/asset/asset-list-web/__liferay__/index.(HEYDZVRB).js;8917;30614
apps/asset/asset-publisher-web/__liferay__/index.(QM43TSC6).js;6120;19955
apps/asset/asset-taglib/__liferay__/index.(PXYGLR6S).js;5628;17556
apps/asset/asset-tags-admin-web/__liferay__/index.(HRWPVH36).js;805;1545
apps/batch-planner/batch-planner-web/__liferay__/index.(GVDG3MF5).js;11624;42074
apps/blogs/blogs-web/__liferay__/index.(M5DBOIRS).js;5032;15821
apps/bookmarks/bookmarks-web/__liferay__/index.(GBBTFWO3).js;947;2033
apps/calendar/calendar-web/__liferay__/index.(PLZNCGCC).js;857;2130
apps/change-tracking/change-tracking-web/__liferay__/index.(BAVGJRKM).js;31016;132739
apps/client-extension/client-extension-web/__liferay__/index.(JWSQWUPS).js;4438;13005
apps/comment/comment-taglib/__liferay__/index.(LUQOVARO).js;4139;11091
apps/commerce/commerce-account-web/__liferay__/index.(ASZEMJVR).js;899;1795
apps/commerce/commerce-availability-estimate-web/__liferay__/index.(2H43S3JB).js;444;639
apps/commerce/commerce-cart-content-web/__liferay__/index.(WWBIJAAU).js;1022;3118
apps/commerce/commerce-catalog-web/__liferay__/index.(GGEBUICG).js;854;2756
apps/commerce/commerce-channel-web/__liferay__/index.(WX4OXWNB).js;4227;12175
apps/commerce/commerce-checkout-web/__liferay__/index.(HPHOGI5C).js;2784;7514
apps/commerce/commerce-client-extension-web/__liferay__/index.(ZRHYW3XZ).js;256;302
apps/commerce/commerce-fragment/commerce-fragment-impl/__liferay__/index.(EFKWNWTE).js;2994;8863
apps/commerce/commerce-frontend-js/__liferay__/index.(HR7IGSKZ).js;62243;234203
apps/commerce/commerce-frontend-taglib/__liferay__/index.(ZIFGESZM).js;4802;14705
apps/commerce/commerce-order-content-web/__liferay__/index.(ARUY2BWN).js;15673;67876
apps/commerce/commerce-order-rule-web/__liferay__/index.(SF2NJQWO).js;1875;7878
apps/commerce/commerce-order-web/__liferay__/index.(PKJUZHLV).js;4070;14158
apps/commerce/commerce-payment-web/__liferay__/index.(LHSUT5LY).js;2311;6418
apps/commerce/commerce-pricing-web/__liferay__/index.(LM5TOVHF).js;6383;38225
apps/commerce/commerce-product-asset-categories-navigation-web/__liferay__/index.(Q7D7TFCW).js;739;1578
apps/commerce/commerce-product-asset-categories-web/__liferay__/index.(VFTXWJYQ).js;1119;2761
apps/commerce/commerce-product-content-category-web/__liferay__/index.(4CY2LJS2).js;288;452
apps/commerce/commerce-product-content-search-web/__liferay__/index.(TJEHPBGS).js;900;2102
apps/commerce/commerce-product-content-web/__liferay__/index.(UUKYLGHO).js;3852;12158
apps/commerce/commerce-product-definitions-web/__liferay__/index.(S7SC62RE).js;9985;42402
apps/commerce/commerce-product-measurement-unit-web/__liferay__/index.(B7M66DCC).js;573;987
apps/commerce/commerce-product-options-web/__liferay__/index.(XPNRIHFG).js;3944;13419
