BUNDLE;IMPORT;SYMBOLS
apps/accessibility/accessibility-menu-web;@clayui/alert;"default"
apps/accessibility/accessibility-menu-web;@clayui/button;"default"
apps/accessibility/accessibility-menu-web;@clayui/modal;"default,useModal"
apps/accessibility/accessibility-menu-web;@liferay/accessibility-settings-state-web;"CONSTANTS,accessibilityMenuAtom"
apps/accessibility/accessibility-menu-web;@liferay/cookies-banner-web;"checkCookieConsentForTypes"
apps/accessibility/accessibility-menu-web;@liferay/frontend-js-state-web;"useLiferayState"
apps/accessibility/accessibility-menu-web;frontend-js-web;"COOKIE_TYPES,checkConsent,localStorage,setSessionValue"
apps/accessibility/accessibility-menu-web;prop-types;"default"
apps/accessibility/accessibility-menu-web;react;"default,useCallback,useEffect,useState"
apps/accessibility/accessibility-menu-web;@clayui/form;"ClayToggle,default"
apps/accessibility/accessibility-settings-state-web;@liferay/frontend-js-state-web;"State"
apps/account/account-admin-web;frontend-js-web;"PortletBase,createPortletURL,delegate,getCheckedCheckboxes,getTop,navigate,openConfirmModal,openModal,openSelectionModal,openWindow,postForm,sub"
apps/account/account-admin-web;@liferay/address-web;"CountryRegionDynamicSelect"
apps/account/account-admin-web;@clayui/button;"default"
apps/account/account-admin-web;@clayui/form;"ClayInput,default"
apps/account/account-admin-web;@clayui/icon;"default"
apps/account/account-admin-web;@clayui/layout;"default"
apps/account/account-admin-web;react;"FormEventHandler,default,useState"
apps/account/account-admin-web;@clayui/multi-select;"default"
apps/adaptive-media/adaptive-media-web;@clayui/button;"default"
apps/adaptive-media/adaptive-media-web;@clayui/icon;"default"
apps/adaptive-media/adaptive-media-web;@clayui/progress-bar;"default"
apps/adaptive-media/adaptive-media-web;@liferay/frontend-js-react-web;"useIsMounted,useTimeout"
apps/adaptive-media/adaptive-media-web;frontend-js-web;"fetch,navigate,normalizeFriendlyURL,objectToFormData,openToast,sub"
apps/adaptive-media/adaptive-media-web;prop-types;"default"
apps/adaptive-media/adaptive-media-web;react;"default,useCallback,useEffect,useState"
apps/adaptive-media/adaptive-media-web;@clayui/alert;"default"
apps/adaptive-media/adaptive-media-web;@clayui/form;"ClayCheckbox,ClayInput,ClayRadio,ClayRadioGroup,default"
apps/adaptive-media/adaptive-media-web;@clayui/layout;"default"
apps/adaptive-media/adaptive-media-web;formik;"useFormik"
apps/address/address-web;frontend-js-web;"getCheckedCheckboxes,getCountries,getRegions,postForm"
apps/address/address-web;prop-types;"default"
apps/ai-creator/ai-creator-openai-web;@clayui/form;"ClayCheckbox,ClayInput,ClaySelectWithOption,default"
apps/ai-creator/ai-creator-openai-web;@clayui/layout;"Container,default"
apps/ai-creator/ai-creator-openai-web;classnames;"default"
apps/ai-creator/ai-creator-openai-web;frontend-js-components-web;"LearnMessage,LearnResourcesContext"
apps/ai-creator/ai-creator-openai-web;frontend-js-web;"fetch,getOpener"
apps/ai-creator/ai-creator-openai-web;react;"FormEvent,default,useState"
apps/ai-creator/ai-creator-openai-web;@clayui/icon;"default"
apps/ai-creator/ai-creator-openai-web;@clayui/button;"default"
apps/ai-creator/ai-creator-openai-web;@clayui/card;"default"
apps/ai-creator/ai-creator-openai-web;@clayui/loading-indicator;"default"
apps/analytics/analytics-settings-web;@clayui/icon;"ClayIconSpriteContext,default"
apps/analytics/analytics-settings-web;@clayui/tooltip;"ClayTooltipProvider"
apps/analytics/analytics-settings-web;react;"createContext,default,useCallback,useContext,useEffect,useMemo,useReducer,useState"
apps/analytics/analytics-settings-web;@testing-library/jest-dom/extend-expect;""
apps/analytics/analytics-settings-web;@testing-library/react;"act,fireEvent,render,screen,waitForElementToBeRemoved"
apps/analytics/analytics-settings-web;classnames;"default"
apps/analytics/analytics-settings-web;@clayui/button;"ClayButtonWithIcon,default"
apps/analytics/analytics-settings-web;@clayui/empty-state;"default"
apps/analytics/analytics-settings-web;frontend-js-web;"fetch,sub"
apps/analytics/analytics-settings-web;@clayui/layout;"default"
apps/analytics/analytics-settings-web;@clayui/nav;"ClayVerticalNav"
apps/analytics/analytics-settings-web;@clayui/link;"default"
apps/analytics/analytics-settings-web;@clayui/multi-step-nav;"default"
apps/analytics/analytics-settings-web;@clayui/list;"default"
apps/analytics/analytics-settings-web;@clayui/modal;"default,useModal"
apps/analytics/analytics-settings-web;@clayui/alert;"DisplayType,default"
apps/analytics/analytics-settings-web;@clayui/form;"ClayCheckbox,ClayInput,ClayToggle,default"
apps/analytics/analytics-settings-web;@clayui/core;"Body,Cell,Head,Row,Table,Text"
apps/analytics/analytics-settings-web;@clayui/label;"default"
apps/analytics/analytics-settings-web;@clayui/panel;"default"
apps/analytics/analytics-settings-web;@clayui/tabs;"default"
apps/analytics/analytics-settings-web;jest-fetch-mock;"default"
